municipality,roll_no_txt,civic_address,dwelling_units,classes,event_year,kind,confidence,buildings,buildings_prev,gain,is_primary,legal_description
500 - CITY OF BRANDON,514166.000,1321 13TH ST,27,INST|OTHER|R2,2027,expanded,low,2783700,1417800,1365900,TRUE,1-22352
560 - CITY OF THOMPSON,233300.000,274 PRINCETON DR,77,R2,2027,expanded,low,3731100,2404800,1326300,TRUE,1-175-847
146 - RM OF MACDONALD,447150.000,COUNTRY VISTA DR,4,R2,2027,appeared,high,1289600,0,1289600,TRUE,4--71361
550 - CITY OF PORTAGE LA PRAIRIE,150700.000,59 3RD ST NW,6,R1|R2,2027,appeared,high,1223800,0,1223800,TRUE,DESC 68/69--18
168 - RM OF ROCKWOOD,75000.000,166 DUFFERIN DR,10,R1|R2,2027,expanded,low,1441200,218300,1222900,TRUE,1--41036
616 - LGD OF PINAWA,15900.000,20 ALEXANDER AVE,17,R2,2027,expanded,low,1147600,74600,1073000,TRUE,1--25889
152 - RM OF MORRIS,205380.000,41 - 53 SPARK ST,7,R1|R2,2027,appeared,high,1042100,0,1042100,TRUE,4/5-5-71256
560 - CITY OF THOMPSON,51500.000,128 HEMLOCK CRES,12,OTHER|R2,2027,appeared,high,931100,0,931100,TRUE,1-33-743
401 - TOWN OF BEAUSEJOUR,78600.000,70 FIRST ST S,4,R1,2027,appeared,high,915700,0,915700,TRUE,DESC 2--9818
500 - CITY OF BRANDON,138552.000,617 17TH ST,12,R1|R2,2027,appeared,high,900900,0,900900,TRUE,4/7-9-16
152 - RM OF MORRIS,205360.000,69 - 73 SPARK ST,3,R1,2027,appeared,high,812500,0,812500,TRUE,1-5-71256
152 - RM OF MORRIS,205385.000,35 - 39 SPARK ST,3,R1,2027,appeared,high,812500,0,812500,TRUE,6-5-71256
500 - CITY OF BRANDON,116616.000,125 24TH ST,4,R1,2027,appeared,high,792100,0,792100,TRUE,DESC 16/18-20-15
300 - TOWN OF ARBORG,25400.000,431 CROSSTOWN AVE,5,R1,2027,appeared,high,782900,0,782900,TRUE,DESC 18/20--2763
451 - CITY OF STEINBACH,66800.000,286 HENRY ST,6,R1|R2,2027,expanded,low,827400,72700,754700,TRUE,DESC 1-1-3906
500 - CITY OF BRANDON,71977.000,1002 1ST ST,4,R1,2027,appeared,high,749800,0,749800,TRUE,18/20-40-7
435 - TOWN OF MORRIS,18100.000,257 BOYNE AVE W,4,R1,2027,appeared,high,694000,0,694000,TRUE,DESC 38--23
451 - CITY OF STEINBACH,103600.000,510 WILSON ST,29,INST,2027,expanded,low,1230200,559300,670900,TRUE,2--70218
435 - TOWN OF MORRIS,104700.000,1 Agassiz TRL,4,R1,2027,appeared,high,642400,0,642400,TRUE,1--63780
612 - RM OF STUARTBURN,117200.000,225 - 227 1ST ST W,12,R1,2027,expanded,low,1913600,1276600,637000,TRUE,2--47673
500 - CITY OF BRANDON,62984.000,1334 7TH ST,6,R1,2027,expanded,low,1157500,540700,616800,TRUE,DESC 11/14-15-7
500 - CITY OF BRANDON,92312.000,705 PERCY ST,3,R1,2027,appeared,high,516100,0,516100,TRUE,3/4-24-9
411 - CITY OF DAUPHIN,285500.000,133 2ND AVE NW,16,R2,2027,expanded,low,640000,177100,462900,TRUE,1/2-1515
165 - RM OF RITCHOT,89500.000,483 MAIN ST,6,R1|R2,2027,expanded,low,1162600,716600,446000,TRUE,1--76317
437 - TOWN OF NEEPAWA,67800.000,11 - 298 BRYDON ST,12,R2,2027,expanded,low,643700,253700,390000,TRUE,DESC 20/24-136-256
451 - CITY OF STEINBACH,25500.000,44 ELLICE AVE,4,R1,2027,expanded,low,361500,61600,299900,TRUE,DESC 3-5054
127 - MUNICIPALITY OF EMERSON-FRANKLIN,357900.000,28 FIRST ST,12,R2,2027,expanded,low,561600,285400,276200,TRUE,8/10-CD-2
463 - CITY OF WINKLER,76500.000,159 MAIN ST,12,INST,2027,expanded,low,424500,180900,243600,TRUE,4-1-707
451 - CITY OF STEINBACH,40828.000,155 REIMER AVE W,8,R2,2027,expanded,low,479900,245300,234600,TRUE,5-23648
451 - CITY OF STEINBACH,40824.000,175 REIMER AVE W,8,R2,2027,expanded,low,437600,210500,227100,TRUE,3-23648
500 - CITY OF BRANDON,145144.000,814 13TH ST,4,R1,2027,expanded,low,373200,148000,225200,TRUE,36/37-24-16
451 - CITY OF STEINBACH,40822.000,185 REIMER AVE W,8,R2,2027,expanded,low,437900,214600,223300,TRUE,2-23648
451 - CITY OF STEINBACH,40826.000,165 REIMER AVE W,8,R2,2027,expanded,low,426300,206600,219700,TRUE,4-23648
451 - CITY OF STEINBACH,167200.000,304 FIRST ST,7,R2,2027,expanded,low,505100,304900,200200,TRUE,3-3-10121
411 - CITY OF DAUPHIN,81700.000,123 2ND AVE NW,8,R2,2027,expanded,low,350900,162700,188200,TRUE,DESC 2&16/17-D-243
144 - MUNICIPALITY OF LORNE,53300.000,36 BAIE DU LAC,5,INST|R1,2027,expanded,low,376100,188700,187400,TRUE,DESC 1--45193
105 - MUNICIPALITY OF BIFROST-RIVERTON,239550.000,143159 Road 20 E,5,R2,2027,expanded,low,306300,121000,185300,TRUE,1-26157
451 - CITY OF STEINBACH,219200.000,181 BRANDT ST,6,R2,2027,expanded,low,365700,196400,169300,TRUE,2-20134
782 - BARROWS-NORTHERN AFFAIRS ACT,48800.000,,4,INST|R1,2027,expanded,low,428500,267200,161300,TRUE,1758
550 - CITY OF PORTAGE LA PRAIRIE,348000.000,839 DUKE AVE,4,R1,2027,expanded,low,288000,142700,145300,TRUE,114/115-8-102
431 - TOWN OF MINNEDOSA,110800.000,314 MAIN ST N,3,R1,2027,expanded,low,225900,86800,139100,TRUE,DESC 2/3--787
451 - CITY OF STEINBACH,202510.000,92 REIMER AVE,5,R2,2027,expanded,low,274400,146000,128400,TRUE,2-1-17594
451 - CITY OF STEINBACH,103550.000,299 KROEKER AVE,24,INST,2027,expanded,low,287800,165000,122800,FALSE,1--70218
188 - MUNICIPALITY OF NORFOLK TREHERNE,222500.000,54080 PTH2,3,OTHER|R1,2027,expanded,low,274400,155700,118700,TRUE,DESC 1--27016
500 - CITY OF BRANDON,21618.000,229 18TH ST,4,R1,2027,expanded,low,176200,67000,109200,TRUE,11/12-51-2
351 - TOWN OF STE. ANNE,38000.000,340 CENTRAL AVE,4,R2,2027,expanded,low,207500,99800,107700,TRUE,DESC RL107/108-AN-3627
550 - CITY OF PORTAGE LA PRAIRIE,170400.000,39 2ND ST SW,5,R1,2027,expanded,low,243100,136600,106500,TRUE,34--12
500 - CITY OF BRANDON,16287.000,241 4TH ST,6,R2,2027,expanded,low,253100,151400,101700,TRUE,32/33-37-2
447 - CITY OF SELKIRK,287908.000,800 VAUGHAN AVE,67,R2,2026,appeared,high,15912500,0,15912500,TRUE,1--72071
340 - TOWN OF NIVERVILLE,36010.100,102 RANGE AVE,56,R2,2026,appeared,high,12246700,0,12246700,TRUE,1--70126
447 - CITY OF SELKIRK,76000.000,355 EVELINE ST,49,OTHER|R2,2026,appeared,high,11481900,0,11481900,TRUE,A--71164
451 - CITY OF STEINBACH,1480.000,"40, 48 - 54 MARKET BLVD",66,R2,2026,appeared,high,10035700,0,10035700,TRUE,G--68630
129 - RM OF GIMLI,371800.000,86 1ST AVE,40,INST|R2,2026,appeared,high,6633100,0,6633100,TRUE,A&B--71997
110 - RM OF BROKENHEAD,21335.000,66 PIERSON DR,42,R2,2026,appeared,high,6418000,0,6418000,TRUE,2--71100
401 - TOWN OF BEAUSEJOUR,91849.000,161 JOYCE ST,42,R2,2026,appeared,high,6222900,0,6222900,TRUE,4--71793
196 - MUNICIPALITY OF KILLARNEY-TURTLE MOUNTAIN,446350.000,301 MOUNTAIN AVE,32,R2,2026,appeared,high,6003500,0,6003500,TRUE,1--71630
194 - RM OF TACHE,42201.000,64 SAND PIPER TRL,74,R2,2026,expanded,high,9266600,3485500,5781100,TRUE,12-1-65400
351 - TOWN OF STE. ANNE,570.000,147 - 153 CHAMPAGNE ST,62,R2,2026,expanded,high,8564000,2804900,5759100,TRUE,A--74042
500 - CITY OF BRANDON,568568.000,415 25TH ST,48,R2,2026,appeared,high,5611500,0,5611500,TRUE,C&D--54948
463 - CITY OF WINKLER,203379.000,,36,R2,2026,appeared,high,5144600,0,5144600,TRUE,1--74150
357 - VILLAGE OF ST. PIERRE-JOLYS,21700.000,353 SABOURIN ST,36,R2,2026,appeared,high,5147100,88300,5058800,TRUE,5/7--11567
138 - RM OF LA BROQUERIE,103216.000,185 CHEMIN TETRAULT RD,75,R2,2026,expanded,high,10740500,6591300,4149200,FALSE,B--70849
189 - RM OF SPRINGFIELD,29000.000,59004 PR 207 RD 23E,3,OTHER,2026,expanded,high,4846400,1341300,3505100,TRUE,B--56479
463 - CITY OF WINKLER,183158.000,224 VICTORIA ST,28,R2,2026,appeared,high,3477600,0,3477600,TRUE,10-1-30045
351 - TOWN OF STE. ANNE,42100.000,54 VOYAGEUR DR,60,R2,2026,expanded,high,8572100,5143300,3428800,FALSE,DESC RL60-AN-3626
437 - TOWN OF NEEPAWA,1440.000,31 - 37 HOWDEN AVE,32,R2,2026,expanded,high,6520200,3193600,3326600,TRUE,65--65638
500 - CITY OF BRANDON,20701.000,1528 PRINCESS AVE,14,R2,2026,appeared,high,2826700,0,2826700,TRUE,DESC 21/25-49-2
451 - CITY OF STEINBACH,167600.000,330 FIRST ST,15,R2,2026,appeared,high,2481200,0,2481200,TRUE,7-3-10121
451 - CITY OF STEINBACH,3170.000,165 MAPLEWOOD ST,24,R2,2026,appeared,high,2282800,0,2282800,TRUE,2--68685
500 - CITY OF BRANDON,514794.000,2 QUAIL RIDGE DR,132,R2,2026,appeared,high,2074900,0,2074900,FALSE,DESC 2--72110
453 - TOWN OF STONEWALL,54900.000,Unit 1-9 - 286 3RD AVE N,9,R1,2026,appeared,high,1890800,0,1890800,TRUE,DESC 1/4-54-2594
135 - RM OF HANOVER,245517.000,96 REDWING TRL,12,R2,2026,appeared,high,1799000,0,1799000,TRUE,108--71199
135 - RM OF HANOVER,67600.105,25 PRIMROSE LANE,12,R2,2026,appeared,high,1788300,0,1788300,TRUE,2--73116
351 - TOWN OF STE. ANNE,10410.000,15 FALCON BAY,12,R2,2026,appeared,high,1726900,0,1726900,TRUE,11--72367
550 - CITY OF PORTAGE LA PRAIRIE,188900.000,103 1ST ST NW,8,R2,2026,appeared,high,1711400,12100,1699300,TRUE,352/353--12
500 - CITY OF BRANDON,75887.000,820 1ST ST,8,R2,2026,appeared,high,1660100,0,1660100,TRUE,DESC 9/11-49-8
351 - TOWN OF STE. ANNE,10408.000,27 FALCON BAY,12,R2,2026,appeared,high,1501700,0,1501700,TRUE,9--72367
351 - TOWN OF STE. ANNE,10409.000,21 FALCON BAY,12,R2,2026,appeared,high,1499100,0,1499100,TRUE,10--72367
463 - CITY OF WINKLER,183145.000,135 VICTORIA ST,9,R2,2026,appeared,high,1416400,0,1416400,TRUE,21-5-30045
351 - TOWN OF STE. ANNE,10411.000,7 FALCON BAY,6,R2,2026,appeared,high,1358500,0,1358500,TRUE,12--72367
351 - TOWN OF STE. ANNE,52450.000,18 ARENA RD,12,R2,2026,new_roll,med,1291300,0,1291300,TRUE,1--73887
400 - TOWN OF ALTONA,204640.000,,16,R2,2026,expanded,high,2315400,1157700,1157700,FALSE,1--70894
152 - RM OF MORRIS,205410.000,1 - 33 SPARK ST,17,R2,2026,expanded,high,2716400,1598900,1117500,FALSE,11-5-71256
333 - TOWN OF LAC DU BONNET,6300.000,71 FOURTH ST,6,R2,2026,appeared,high,1084300,11000,1073300,TRUE,A--73399
164 - MUNICIPALITY OF RHINELAND,437765.000,136 RIVER AVE,8,R2,2026,appeared,high,1005300,0,1005300,TRUE,14--68104
105 - MUNICIPALITY OF BIFROST-RIVERTON,409800.000,,8,R2,2026,appeared,high,907600,0,907600,TRUE,A--74041
400 - TOWN OF ALTONA,204641.000,,6,R2,2026,appeared,high,890000,0,890000,TRUE,2--70894
451 - CITY OF STEINBACH,425182.000,81 - 87 ROSEBROOK TRL,4,R1,2026,appeared,high,862700,0,862700,TRUE,54--69059
451 - CITY OF STEINBACH,195000.000,600 MAIN ST,6,R2,2026,expanded,high,908000,57900,850100,TRUE,49-2-10315
333 - TOWN OF LAC DU BONNET,17595.000,46 PARK AVE,6,OTHER|R2,2026,expanded,high,1103800,264800,839000,TRUE,4-7-3309
357 - VILLAGE OF ST. PIERRE-JOLYS,20610.000,317 JOUBERT ST,6,R2,2026,appeared,high,812500,0,812500,TRUE,1--70885
451 - CITY OF STEINBACH,425179.000,57 - 63 ROSEBROOK TRL,4,R2,2026,appeared,high,811300,0,811300,TRUE,51--69059
192 - RM OF PRAIRIE LAKES,281885.000,,3,INST,2026,appeared,high,771700,0,771700,TRUE,15--72572
110 - RM OF BROKENHEAD,13525.000,68 PIERSON DR,4,R1,2026,appeared,high,632800,0,632800,TRUE,2--72916
144 - MUNICIPALITY OF LORNE,300200.000,283 NOTRE DAME AVE SW,8,R2,2026,expanded,high,1330000,717100,612900,FALSE,2--71914
451 - CITY OF STEINBACH,214980.000,205 MCKENZIE AVE,4,R1,2026,appeared,high,573100,0,573100,TRUE,16-2-12916
451 - CITY OF STEINBACH,425143.000,40 - 46 ROSEBROOK TRL,4,R1,2026,appeared,high,554200,0,554200,TRUE,15--69059
135 - RM OF HANOVER,79576.200,339 NEUFELD DR,8,R1,2026,expanded,high,863600,326200,537400,TRUE,7--41681
194 - RM OF TACHE,42335.000,EAGLE COVE,4,R1,2026,appeared,high,511600,0,511600,TRUE,4--69148
152 - RM OF MORRIS,205420.000,4 Ash BAY,3,R1,2026,appeared,high,508900,0,508900,TRUE,13-5-71256
194 - RM OF TACHE,42340.000,16 EAGLE COVE,4,R1,2026,appeared,high,503200,0,503200,TRUE,5--69148
435 - TOWN OF MORRIS,43500.000,136 BOYNE AVE E,4,R1,2026,appeared,high,493100,0,493100,TRUE,DESC 19--4692
152 - RM OF MORRIS,205495.000,34 Ash BAY,3,R1,2026,appeared,high,490800,0,490800,TRUE,28-5-71256
437 - TOWN OF NEEPAWA,64000.000,287 HAMILTON ST,3,OTHER|R1,2026,expanded,high,633600,191900,441700,TRUE,DESC 8/10-117-256
550 - CITY OF PORTAGE LA PRAIRIE,358500.000,109 10TH ST NE,4,R1,2026,appeared,high,399600,0,399600,TRUE,1/2-1-27884
463 - CITY OF WINKLER,133200.000,233 ROYAL CRES,5,R2,2026,expanded,high,626400,239200,387200,TRUE,6-3-1229
606 - RM OF GRAHAMDALE,433100.000,50010 ROAD 190 N,3,OTHER|R1,2026,expanded,high,811200,442100,369100,TRUE,DESC --76809
110 - RM OF BROKENHEAD,248800.000,38087 MILE 86N,8,R1,2026,expanded,high,860800,541400,319400,TRUE,2--75150
431 - TOWN OF MINNEDOSA,101400.000,149 MAIN ST S,3,R1,2026,expanded,high,254100,109400,144700,TRUE,6/7--29
411 - CITY OF DAUPHIN,50900.000,121 MAIN ST S,3,OTHER|R1,2026,expanded,high,287900,172400,115500,TRUE,10-8-243
194 - RM OF TACHE,83410.000,14 RIVER RIDGE DR,96,R2,2025,expanded,low,15812800,2279300,13533500,TRUE,2-1-66962
500 - CITY OF BRANDON,562264.000,1501 BRAECREST DR,72,R2,2025,appeared,high,10105200,0,10105200,TRUE,1--75600
401 - TOWN OF BEAUSEJOUR,91846.000,153 JOYCE ST,53,R2,2025,new_roll,med,7712300,0,7712300,TRUE,2--71793
129 - RM OF GIMLI,150900.000,199 CENTRE AVE W,30,R2,2025,appeared,high,6546800,0,6546800,TRUE,1/6--61552
340 - TOWN OF NIVERVILLE,36010.200,101 RANGE AVE,30,R2,2025,appeared,high,5700300,0,5700300,TRUE,2--70126
401 - TOWN OF BEAUSEJOUR,91845.000,156 fifth ST S,36,R2,2025,new_roll,med,5451600,0,5451600,TRUE,1--71793
453 - TOWN OF STONEWALL,110450.000,3 - 5 QUARRY RIDGE DR,32,R2,2025,appeared,high,5109900,0,5109900,TRUE,3--68346
138 - RM OF LA BROQUERIE,103216.000,185 CHEMIN TETRAULT RD,75,R2,2025,expanded,low,6591300,1626800,4964500,TRUE,B--70849
401 - TOWN OF BEAUSEJOUR,91847.000,157 JOYCE ST,33,R2,2025,new_roll,med,4656600,0,4656600,TRUE,3--71793
401 - TOWN OF BEAUSEJOUR,90090.000,100 EVERGREEN ST,27,R2,2025,appeared,high,4314800,0,4314800,TRUE,13-2-24557
433 - CITY OF MORDEN,301810.000,985 Wardrop ST,60,R2,2025,expanded,low,9427900,5336300,4091600,FALSE,1--54760
194 - RM OF TACHE,42201.000,64 SAND PIPER TRL,74,R2,2025,appeared,high,3485500,0,3485500,FALSE,12-1-65400
550 - CITY OF PORTAGE LA PRAIRIE,362804.000,315 OXFORD COMN,12,R2,2025,appeared,high,3323800,0,3323800,TRUE,3--65578
609 - MUNICIPALITY OF HARRISON PARK,47900.000,,9,OTHER,2025,expanded,low,7511700,4257200,3254500,TRUE,DESC NE19-19-18W
451 - CITY OF STEINBACH,19210.000,228 WOODHAVEN AVE,21,R2,2025,appeared,high,2913400,0,2913400,TRUE,3--67258
500 - CITY OF BRANDON,27896.000,309 PRINCESS AVE,16,R2,2025,appeared,high,2816300,0,2816300,TRUE,DESC 1/4-66-2
351 - TOWN OF STE. ANNE,570.000,147 - 153 CHAMPAGNE ST,62,R2,2025,appeared,high,2804900,0,2804900,FALSE,A--74042
451 - CITY OF STEINBACH,19220.000,224 WOODHAVEN AVE,24,R2,2025,appeared,high,2661500,0,2661500,TRUE,4--67258
135 - RM OF HANOVER,138100.133,54 FRIESEN AVE,16,R2,2025,appeared,high,2377600,0,2377600,TRUE,44--57097
400 - TOWN OF ALTONA,204644.000,103 MILLENNIUM DR NW,18,R2,2025,appeared,high,2309700,0,2309700,TRUE,5--70894
433 - CITY OF MORDEN,350305.000,121 HANOVER DR,12,R2,2025,appeared,high,1980500,0,1980500,TRUE,-3-68349
433 - CITY OF MORDEN,210475.000,427 LOREN DR,15,R2,2025,expanded,low,3135800,1478600,1657200,TRUE,2--62301
152 - RM OF MORRIS,205410.000,1 - 33 SPARK ST,17,R2,2025,appeared,high,1598900,0,1598900,TRUE,11-5-71256
463 - CITY OF WINKLER,183146.000,119 VICTORIA ST,9,R2,2025,appeared,med,1416400,28500,1387900,TRUE,20-5-30045
300 - TOWN OF ARBORG,32300.000,263 PARK CRES,18,R2,2025,expanded,low,2311000,924100,1386900,TRUE,DESC 15--5473
135 - RM OF HANOVER,113733.000,80 CRESTVIEW LANE,18,R2,2025,expanded,low,2443300,1137100,1306200,TRUE,23--66769
500 - CITY OF BRANDON,124123.000,436 21ST ST,6,R2,2025,appeared,high,1197700,0,1197700,TRUE,DESC 7/9-45-15
463 - CITY OF WINKLER,331315.000,1144 Schooner DR,8,R2,2025,appeared,high,1186800,0,1186800,TRUE,13-5-62132
400 - TOWN OF ALTONA,204640.000,,16,R2,2025,appeared,high,1157700,0,1157700,TRUE,1--70894
105 - MUNICIPALITY OF BIFROST-RIVERTON,438550.000,5 HELEN AVE,10,R2,2025,appeared,high,1116000,0,1116000,TRUE,4/6-3-2406
192 - RM OF PRAIRIE LAKES,83207.000,SPRUCE & PINE ST,18,R1,2025,expanded,low,2609400,1512100,1097300,FALSE,DESC NE8-5-16W
119 - RM OF DE SALABERRY,146000.000,30 DE L`EGLISE AV,22,R2,2025,expanded,low,1824400,791500,1032900,TRUE,24--74098
400 - TOWN OF ALTONA,380.000,135 MAIN ST NE,6,R2,2025,appeared,high,1014300,0,1014300,TRUE,2--70447
184 - RM OF SIFTON,212000.000,130 CAMERON ST W,11,R2,2025,appeared,high,974600,0,974600,TRUE,22/25-13-1969
409 - TOWN OF CARMAN,42600.000,7 1ST AVE SW,10,R2,2025,expanded,low,1343800,485700,858100,TRUE,3/5-4-33408
560 - CITY OF THOMPSON,261500.000,413 PRINCETON DR,30,R2,2025,expanded,low,1228300,407000,821300,TRUE,13-857
192 - RM OF PRAIRIE LAKES,83209.000,NLSD,17,R1,2025,expanded,low,1663700,870500,793200,TRUE,DESC NE8-5-16W
192 - RM OF PRAIRIE LAKES,70300.000,,20,R1,2025,expanded,low,1801000,1011000,790000,TRUE,DESC 7/8-4-185
500 - CITY OF BRANDON,80077.000,722 7TH ST,4,R1,2025,appeared,high,785600,0,785600,TRUE,DESC 9/10-58-8
500 - CITY OF BRANDON,11825.000,354 8TH ST,4,R1,2025,appeared,high,734500,0,734500,TRUE,DESC 2-27-2
144 - MUNICIPALITY OF LORNE,300200.000,283 NOTRE DAME AVE SW,8,R2,2025,appeared,high,717100,0,717100,TRUE,2--71914
500 - CITY OF BRANDON,148924.000,802 11TH ST,4,R1,2025,appeared,high,709300,0,709300,TRUE,39/40-34-16
192 - RM OF PRAIRIE LAKES,83453.000,ANGEL POINT,8,R1,2025,expanded,low,1409200,810500,598700,FALSE,DESC 1--22952
451 - CITY OF STEINBACH,564800.000,210 Keating RD,3,OTHER|R1,2025,expanded,low,766300,279800,486500,TRUE,DESC NE4-7-6E
192 - RM OF PRAIRIE LAKES,83205.000,"OAK - ASH ALDER, WILLOW ST",15,R1,2025,expanded,low,1078300,595300,483000,TRUE,DESC NE8-5-16W
435 - TOWN OF MORRIS,104775.000,61 - 63 Agassiz TRL,4,R1,2025,appeared,high,443400,0,443400,TRUE,16--63780
435 - TOWN OF MORRIS,104780.000,65 - 67 Agassiz TRL,4,R1,2025,appeared,high,436900,0,436900,TRUE,17--63780
455 - TOWN OF SWAN RIVER,41300.000,125 6TH AVE S,3,R1,2025,appeared,high,394100,0,394100,TRUE,10-17-286
192 - RM OF PRAIRIE LAKES,83211.000,SLSD,8,R1,2025,expanded,low,868700,497700,371000,FALSE,DESC NE8-5-16W
560 - CITY OF THOMPSON,5100.000,6 CARLETON AVE,24,R2,2025,expanded,low,696600,341200,355400,TRUE,A-5419
174 - RM OF ST. ANDREWS,217700.000,35 STEVENS AVE E,4,R1,2025,appeared,high,339600,0,339600,TRUE,19/20-1-1489
715 - THICKET PORTAGE-NORTHERN AFFAIRS ACT,123400.000,,4,INST|R1,2025,expanded,low,516500,315400,201100,TRUE,12-688
435 - TOWN OF MORRIS,22000.000,161 CHARLES ST W,5,R1,2025,expanded,low,350500,151600,198900,TRUE,DESC 119/120--23
205 - MUNICIPALITY OF DELORAINE-WINCHESTER,214150.000,110 LAKE ST N,4,R1,2025,expanded,low,245100,131900,113200,TRUE,4--235
144 - MUNICIPALITY OF LORNE,300700.000,233 NOTRE DAME AVE SW,3,R1,2025,expanded,low,218700,106100,112600,TRUE,5/7-3-216
451 - CITY OF STEINBACH,83800.000,280 BARKMAN AVE,8,R2,2025,expanded,low,344300,231800,112500,TRUE,1--46406
411 - CITY OF DAUPHIN,362100.000,318 BUCHANNON AVE,3,R1,2025,expanded,low,220100,111000,109100,TRUE,1/2-2412
782 - BARROWS-NORTHERN AFFAIRS ACT,48800.000,,4,INST|R1,2025,expanded,low,267200,166000,101200,FALSE,1758
447 - CITY OF SELKIRK,288370.000,1027 MANITOBA AVE,270,R2,2024,expanded,high,37388400,17017000,20371400,TRUE,1/2--59191
447 - CITY OF SELKIRK,288380.000,1029 MANITOBA AVE,40,R2,2024,appeared,high,7540800,0,7540800,TRUE,3--59191
165 - RM OF RITCHOT,161530.000,1 - 5 TOUROND CREEK DR,91,R2,2024,expanded,high,15670300,8480200,7190100,FALSE,1-1-60418
500 - CITY OF BRANDON,391789.000,501 BRAECREST DR,108,R2,2024,expanded,high,15804100,9932500,5871600,TRUE,1/3&17/20-4-1120
135 - RM OF HANOVER,113729.000,41 EDGEMONT PL,42,R2,2024,appeared,high,5792100,0,5792100,TRUE,19--66769
